
================================================================================
Started Logging:     25.09.2024  13:26
Quantum Version:     Not available
================================================================================

25.09.2024 13:26:21 QC-Terminal: Serial port COM2

25.09.2024 13:26:28 QC-Terminal: Serial port COM3
help

INF 08:47:09:021  Ser.cmd help rec.
INF 08:47:09:023  *** Help **************************************
INF 08:47:09:023  help
INF 08:47:09:023  ?
INF 08:47:09:023  version
INF 08:47:09:023  state
INF 08:47:09:024  config
INF 08:47:09:024  yarn
INF 08:47:09:024  piepar
INF 08:47:09:024  spsstate
INF 08:47:09:024  mapping
INF 08:47:09:024  mailboxes
INF 08:47:09:025  waxing
INF 08:47:09:025  drvgrp
INF 08:47:09:025  progrp
INF 08:47:09:025  odtoggle
INF 08:47:09:025  debug
INF 08:47:09:025  extdebug
INF 08:47:09:025  levitate
INF 08:47:09:025  boxopener
INF 08:47:09:026  motwinding1
INF 08:47:09:026  motwinding2
INF 08:47:09:026  motspinning
INF 08:47:09:026  valves
INF 08:47:09:026  cut
INF 08:47:09:026  reset
INF 08:47:09:026  eonas_flash
INF 08:47:09:027  optmap
INF 08:47:09:027  ffsinit
INF 08:47:09:027  rescomm
INF 08:47:09:027  jobstate
INF 08:47:09:027  simu
INF 08:47:09:027  Optional':xx' => SpS No. 00..19 or Group 00..01
INF 08:47:09:028  Optional':xx=z' => z=1: On, z=0: Off
INF 08:47:09:028  Optional'#xx' => Value 0x00..0xFF (only DEBUG)
INF 08:47:09:028  ***********************************************
INF 08:47:12:178  IXXNMnUSR_REQ_DEVCLSOV: Num_DevClsOv: 4 Num_DevClsSwVers 4
debug#7f

INF 08:47:14:127  Ser.cmd debug rec.
INF 08:47:14:128  SI Debug switched to 0x7f
WAR 08:47:14:129  01 Access_Para PG not mapped
WAR 08:47:14:189  01 Access_Para PG not mapped
WAR 08:47:14:294  01 Access_Para PG not mapped
WAR 08:47:14:354  01 Access_Para PG not mapped
WAR 08:47:14:458  01 Access_Para PG not mapped
WAR 08:47:14:519  01 Access_Para PG not mapped
WAR 08:47:14:624  01 Access_Para PG not mapped
WAR 08:47:14:684  01 Access_Para PG not mapped
WAR 08:47:14:789  01 Access_Para PG not mapped
WAR 08:47:14:849  01 Access_Para PG not mapped
WAR 08:47:14:954  01 Access_Para PG not mapped
WAR 08:47:15:014  01 Access_Para PG not mapped
WAR 08:47:15:119  01 Access_Para PG not mapped
WAR 08:47:15:179  01 Access_Para PG not mapped
WAR 08:47:15:284  01 Access_Para PG not mapped
WAR 08:47:15:344  01 Access_Para PG not mapped
WAR 08:47:15:449  01 Access_Para PG not mapped
WAR 08:47:15:509  01 Access_Para PG not mapped
WAR 08:47:15:569  01 Access_Para PG not mapped
WAR 08:47:15:628  01 Access_Para PG not mapped
WAR 08:47:15:688  01 Access_Para PG not mapped
WAR 08:47:15:749  01 Access_Para PG not mapped
WAR 08:47:15:808  01 Access_Para PG not mapped
WAR 08:47:15:869  01 Access_Para PG not mapped
WAR 08:47:15:929  01 Access_Para PG not mapped
WAR 08:47:15:988  01 Access_Para PG not mapped
WAR 08:47:16:049  01 Access_Para PG not mapped
WAR 08:47:16:109  01 Access_Para PG not mapped
WAR 08:47:16:169  01 Access_Para PG not mapped
